month,gmv,orders,aov,gmv_mom,orders_mom,cumulative_gmv
2016-09-01,267.36,4,66.84,,,267.36
2016-10-01,49507.660000000105,324,152.80141975308675,184.17227707959344,80.0,49775.020000000106
2016-12-01,10.9,1,10.9,-0.9997798320502322,-0.9969135802469136,49785.92000000011
2017-01-01,120312.86999999973,800,150.39108749999966,11036.87798165135,799.0,170098.78999999983
2017-02-01,247303.01999999618,1780,138.93428089887425,1.055499299451478,1.225,417401.809999996
2017-03-01,374344.3000000017,2682,139.57654735272249,0.5137069494744038,0.5067415730337079,791746.1099999977
2017-04-01,359927.22999999986,2404,149.72014559068214,-0.03851286102126239,-0.1036539895600298,1151673.3399999975
2017-05-01,506071.14000000607,3700,136.77598378378542,0.4060373815007168,0.5391014975041597,1657744.4800000037
2017-06-01,433038.6000000033,3245,133.44795069337545,-0.1443127936519002,-0.12297297297297294,2090783.080000007
2017-07-01,498031.4800000085,4026,123.70379533035481,0.15008565056326306,0.2406779661016949,2588814.5600000154
2017-08-01,573971.6800000103,4331,132.52636342646278,0.15248072270451773,0.07575757575757569,3162786.240000026
2017-09-01,624401.6900000119,4285,145.7180140023365,0.08786149518735975,-0.01062110367120761,3787187.930000038
2017-10-01,664219.4300000112,4631,143.42894191319613,0.06376943022046988,0.08074679113185534,4451407.360000049
2017-11-01,1010271.3700000283,7544,133.91720174973864,0.5209903901787565,0.6290218095443749,5461678.730000077
2017-12-01,743914.1700000167,5673,131.1324114225307,-0.2636491619078586,-0.24801166489925763,6205592.9000000935
2018-01-01,950030.3600000315,7269,130.69615628009788,0.2770698533676408,0.28133262823902694,7155623.260000125
2018-02-01,844178.7100000234,6728,125.4724598692068,-0.11141922874970511,-0.07442564314211031,7999801.970000148
2018-03-01,983213.440000027,7211,136.34911108029775,0.16469821893518222,0.07178953626634965,8983015.410000175
2018-04-01,996647.7500000247,6939,143.6298818273562,0.013663676118989443,-0.037720149771182876,9979663.1600002
2018-05-01,996517.6800000254,6873,144.99020515059297,-0.0001305074937451023,-0.009511456982274069,10976180.840000225
2018-06-01,865124.3100000182,6167,140.2828457921223,-0.1318525226767716,-0.10272079150298263,11841305.150000244
2018-07-01,895507.2200000191,6292,142.32473299428148,0.035119704357863046,0.020269174639208742,12736812.370000264
2018-08-01,854686.3300000201,6512,131.2479007985289,-0.045584099254943,0.034965034965035,13591498.700000284
2018-09-01,145.0,16,9.0625,-0.9998303471169359,-0.9975429975429976,13591643.700000284
2018-10-01,0.0,4,0.0,-1.0,-0.75,13591643.700000284
